id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@steveodyuo192","Perfect song n music..good job..from north east India Nagaland.","Ugxa6AhoP2tgLxuTfx54AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugxa6AhoP2tgLxuTfx54AaABAg","2023-12-26 03:16:26",0,"Perfect song n music..good job..from north east India Nagaland.","http://www.youtube.com/channel/UCAJpesJzBO0UwzMxsSHBL2g",
2,"@HieuHoang-mc6ky","great","UgyXaMpozA_GxcuyXfR4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgyXaMpozA_GxcuyXfR4AaABAg","2023-12-17 04:50:22",0,"great","http://www.youtube.com/channel/UC9tZbcMiaJQxLN0h2hp2P0g",
3,"@VideosGospels","🏛Romans 2: 9 to 16. Tribulation and 🤮😵anguish will come upon every soul of man who does evil; first of the Jew and also of the Greek; 10 Glory, however,😇😊 and honor and peace to everyone who does good; first to the Jew and also to the Greek; 11 For there is no respect of persons with God. 12 For as many as have sinned without law, without law shall also perish; and all who have sinned under the law will be judged by the law. 13 For those who hear the law are not righteous before God, but those who do the law will be justified. 14 For when Gentiles, who do not have the law, naturally do the things of the law, not having the law, they are a law to themselves; 15 Which show the work of the law written in their hearts, their conscience testifying together, and their thoughts, whether accusing or defending them; 16 In the day when God will judge the secrets of men, by Jesus Christ, according to my gospel.","UgwH_Kryk9j51c3VBLp4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgwH_Kryk9j51c3VBLp4AaABAg","2023-12-12 18:07:00",0,"🏛Romans 2: 9 to 16. Tribulation and 🤮😵anguish will come upon every soul of man who does evil; first of the Jew and also of the Greek; 10 Glory, however,😇😊 and honor and peace to everyone who does good; first to the Jew and also to the Greek; 11 For there is no respect of persons with God. 12 For as many as have sinned without law, without law shall also perish; and all who have sinned under the law will be judged by the law. 13 For those who hear the law are not righteous before God, but those who do the law will be justified. 14 For when Gentiles, who do not have the law, naturally do the things of the law, not having the law, they are a law to themselves; 15 Which show the work of the law written in their hearts, their conscience testifying together, and their thoughts, whether accusing or defending them; 16 In the day when God will judge the secrets of men, by Jesus Christ, according to my gospel.","http://www.youtube.com/channel/UCtt1GMgf0FmNc64PgCydfIA",
4,"@skibniewska3782","Hello, hello, hello, world.","UgxWKbvkC816aLIU38J4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgxWKbvkC816aLIU38J4AaABAg","2023-12-06 05:47:32",0,"Hello, hello, hello, world.","http://www.youtube.com/channel/UCB9WegAQbIe3mqMkuJk6quw",
5,"@Thethunder007k","I love ❤❤ alan walker","Ugzop-cnCZ6sHhvQ1PV4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugzop-cnCZ6sHhvQ1PV4AaABAg","2023-11-18 23:27:29",0,"I love ❤❤ alan walker","http://www.youtube.com/channel/UCZdzVuxMDQIKTo1-f88NI1g",
6,"@Chrisvineyard395","I close my eyes and goodbye to the world.","Ugw_BjXwgiZ72A6MIiF4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugw_BjXwgiZ72A6MIiF4AaABAg","2023-11-18 04:41:01",0,"I close my eyes and goodbye to the world.","http://www.youtube.com/channel/UC-kWDpkBFn6CRJ0Im2eV9Iw",
7,"@lornalagomarsino7431","🌟✌🌟👍🌟🎹🎵🌎love it💛","Ugy4PlmJvALw2mw06X54AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=Ugy4PlmJvALw2mw06X54AaABAg","2023-11-14 07:48:58",0,"🌟✌🌟👍🌟🎹🎵🌎love it💛","http://www.youtube.com/channel/UCQgceBk0UAIupId32ZnmT3w",
8,"@user-wg5zu7xd7f","My name is Christian walker county is Rwanda I Like your songs❤❤","UgyI5CWBBPYJBKzwr7Z4AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgyI5CWBBPYJBKzwr7Z4AaABAg","2023-11-11 07:49:19",0,"My name is Christian walker county is Rwanda I Like your songs❤❤","http://www.youtube.com/channel/UCSwKVNCPrbBjmeDkBT7qYgw",
9,"@user-wg5zu7xd7f","My name is Christian walker county is Rwanda I Like your songs❤❤","UgyaCCyBdciduslBuR54AaABAg","",0,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgyaCCyBdciduslBuR54AaABAg","2023-11-11 07:48:55",0,"My name is Christian walker county is Rwanda I Like your songs❤❤","http://www.youtube.com/channel/UCSwKVNCPrbBjmeDkBT7qYgw",
10,"@fredrickyegon7250","Waw I like it","UgxPwo-zgLcAbTtjO8Z4AaABAg","",1,"https://www.youtube.com/watch?v=a25_gGnmJAw&lc=UgxPwo-zgLcAbTtjO8Z4AaABAg","2023-11-11 01:34:53",0,"Waw I like it","http://www.youtube.com/channel/UCXxyBzfNUz1gP9je0cv6tKg",
